id,genotype,day,stage,number
LA1840_5,LA1840,26,3_third_instar,8
LA1840_5,LA1840,26,4_early_fourth_instar,2
LA1840_5,LA1840,26,5_late_fourth_instar,7
LA1840_5,LA1840,26,6_exuviea,1
LA1840_5,LA1840,29,0_egg,0
LA1840_5,LA1840,29,1_first_instar,0
LA1840_5,LA1840,29,2_second_instar,3
LA1840_5,LA1840,29,3_third_instar,2
LA1840_5,LA1840,29,4_early_fourth_instar,1
LA1840_5,LA1840,29,5_late_fourth_instar,4
LA1840_5,LA1840,29,6_exuviea,0
LA1840_5,LA1840,33,0_egg,0
LA1840_5,LA1840,33,1_first_instar,0
LA1840_5,LA1840,33,2_second_instar,0
LA1840_5,LA1840,33,3_third_instar,1
LA1840_5,LA1840,33,4_early_fourth_instar,0
LA1840_5,LA1840,33,5_late_fourth_instar,5
LA1840_5,LA1840,33,6_exuviea,0
LA1840_5,LA1840,36,0_egg,0
LA1840_5,LA1840,36,1_first_instar,0
LA1840_5,LA1840,36,2_second_instar,0
LA1840_5,LA1840,36,3_third_instar,0
LA1840_5,LA1840,36,4_early_fourth_instar,1
LA1840_5,LA1840,36,5_late_fourth_instar,0
LA1840_5,LA1840,36,6_exuviea,0
MM_1,MM,6,0_egg,77
MM_1,MM,6,1_first_instar,0
MM_1,MM,6,2_second_instar,0
MM_1,MM,6,3_third_instar,0
MM_1,MM,6,4_early_fourth_instar,0
MM_1,MM,6,5_late_fourth_instar,0
MM_1,MM,6,6_exuviea,0
MM_1,MM,9,0_egg,0
MM_1,MM,9,1_first_instar,17
MM_1,MM,9,2_second_instar,0
MM_1,MM,9,3_third_instar,0
MM_1,MM,9,4_early_fourth_instar,0
MM_1,MM,9,5_late_fourth_instar,0
MM_1,MM,9,6_exuviea,0
MM_1,MM,14,0_egg,0
MM_1,MM,14,1_first_instar,21
MM_1,MM,14,2_second_instar,20
MM_1,MM,14,3_third_instar,0
MM_1,MM,14,4_early_fourth_instar,0
MM_1,MM,14,5_late_fourth_instar,0
MM_1,MM,14,6_exuviea,0
MM_1,MM,16,0_egg,0
MM_1,MM,16,1_first_instar,5
MM_1,MM,16,2_second_instar,24
MM_1,MM,16,3_third_instar,24
MM_1,MM,16,4_early_fourth_instar,0
MM_1,MM,16,5_late_fourth_instar,0
MM_1,MM,16,6_exuviea,0
MM_1,MM,21,0_egg,0
MM_1,MM,21,1_first_instar,1
MM_1,MM,21,2_second_instar,5
MM_1,MM,21,3_third_instar,25
MM_1,MM,21,4_early_fourth_instar,19
MM_1,MM,21,5_late_fourth_instar,6
MM_1,MM,21,6_exuviea,0
MM_1,MM,23,0_egg,0
MM_1,MM,23,1_first_instar,1
MM_1,MM,23,2_second_instar,2
MM_1,MM,23,3_third_instar,6
MM_1,MM,23,4_early_fourth_instar,2
MM_1,MM,23,5_late_fourth_instar,34
MM_1,MM,23,6_exuviea,2
MM_1,MM,26,0_egg,0
MM_1,MM,26,1_first_instar,0
MM_1,MM,26,2_second_instar,0
MM_1,MM,26,3_third_instar,1
MM_1,MM,26,4_early_fourth_instar,0
MM_1,MM,26,5_late_fourth_instar,7
MM_1,MM,26,6_exuviea,1
MM_1,MM,29,0_egg,0
MM_1,MM,29,1_first_instar,0
MM_1,MM,29,2_second_instar,0
MM_1,MM,29,3_third_instar,0
MM_1,MM,29,4_early_fourth_instar,0
MM_1,MM,29,5_late_fourth_instar,1
MM_1,MM,29,6_exuviea,0
MM_1,MM,33,0_egg,0
MM_1,MM,33,1_first_instar,0
MM_1,MM,33,2_second_instar,0
MM_1,MM,33,3_third_instar,0
MM_1,MM,33,4_early_fourth_instar,0
MM_1,MM,33,5_late_fourth_instar,0
MM_1,MM,33,6_exuviea,0
MM_1,MM,36,0_egg,0
MM_1,MM,36,1_first_instar,0
MM_1,MM,36,2_second_instar,0
MM_1,MM,36,3_third_instar,0
MM_1,MM,36,4_early_fourth_instar,0
MM_1,MM,36,5_late_fourth_instar,0
MM_1,MM,36,6_exuviea,0
MM_2,MM,6,0_egg,57
MM_2,MM,6,1_first_instar,0
MM_2,MM,6,2_second_instar,0
MM_2,MM,6,3_third_instar,0
MM_2,MM,6,4_early_fourth_instar,0
MM_2,MM,6,5_late_fourth_instar,0
MM_2,MM,6,6_exuviea,0
MM_2,MM,9,0_egg,0
MM_2,MM,9,1_first_instar,11
MM_2,MM,9,2_second_instar,0
MM_2,MM,9,3_third_instar,0
MM_2,MM,9,4_early_fourth_instar,0
MM_2,MM,9,5_late_fourth_instar,0
MM_2,MM,9,6_exuviea,0
MM_2,MM,14,0_egg,0
MM_2,MM,14,1_first_instar,17
MM_2,MM,14,2_second_instar,20
MM_2,MM,14,3_third_instar,0
MM_2,MM,14,4_early_fourth_instar,0
MM_2,MM,14,5_late_fourth_instar,0
MM_2,MM,14,6_exuviea,0
MM_2,MM,16,0_egg,0
MM_2,MM,16,1_first_instar,2
MM_2,MM,16,2_second_instar,17
MM_2,MM,16,3_third_instar,20
MM_2,MM,16,4_early_fourth_instar,2
MM_2,MM,16,5_late_fourth_instar,0
MM_2,MM,16,6_exuviea,0
MM_2,MM,21,0_egg,0
MM_2,MM,21,1_first_instar,0
MM_2,MM,21,2_second_instar,8
MM_2,MM,21,3_third_instar,10
MM_2,MM,21,4_early_fourth_instar,11
MM_2,MM,21,5_late_fourth_instar,14
MM_2,MM,21,6_exuviea,0
MM_2,MM,23,0_egg,0
MM_2,MM,23,1_first_instar,0
MM_2,MM,23,2_second_instar,8
MM_2,MM,23,3_third_instar,6
MM_2,MM,23,4_early_fourth_instar,2
MM_2,MM,23,5_late_fourth_instar,15
MM_2,MM,23,6_exuviea,1
MM_2,MM,26,0_egg,0
MM_2,MM,26,1_first_instar,0
MM_2,MM,26,2_second_instar,1
MM_2,MM,26,3_third_instar,3
MM_2,MM,26,4_early_fourth_instar,3
MM_2,MM,26,5_late_fourth_instar,4
MM_2,MM,26,6_exuviea,1
MM_2,MM,29,0_egg,0
MM_2,MM,29,1_first_instar,0
MM_2,MM,29,2_second_instar,0
MM_2,MM,29,3_third_instar,2
MM_2,MM,29,4_early_fourth_instar,0
MM_2,MM,29,5_late_fourth_instar,4
MM_2,MM,29,6_exuviea,1
MM_2,MM,33,0_egg,0
MM_2,MM,33,1_first_instar,0
MM_2,MM,33,2_second_instar,0
MM_2,MM,33,3_third_instar,0
MM_2,MM,33,4_early_fourth_instar,0
MM_2,MM,33,5_late_fourth_instar,1
MM_2,MM,33,6_exuviea,1
MM_2,MM,36,0_egg,0
MM_2,MM,36,1_first_instar,0
MM_2,MM,36,2_second_instar,0
MM_2,MM,36,3_third_instar,0
MM_2,MM,36,4_early_fourth_instar,0
MM_2,MM,36,5_late_fourth_instar,0
MM_2,MM,36,6_exuviea,0
MM_3,MM,6,0_egg,37
MM_3,MM,6,1_first_instar,0
MM_3,MM,6,2_second_instar,0
MM_3,MM,6,3_third_instar,0
MM_3,MM,6,4_early_fourth_instar,0
MM_3,MM,6,5_late_fourth_instar,0
MM_3,MM,6,6_exuviea,0
MM_3,MM,9,0_egg,0
MM_3,MM,9,1_first_instar,12
MM_3,MM,9,2_second_instar,0
MM_3,MM,9,3_third_instar,0
MM_3,MM,9,4_early_fourth_instar,0
MM_3,MM,9,5_late_fourth_instar,0
MM_3,MM,9,6_exuviea,0
MM_3,MM,14,0_egg,0
MM_3,MM,14,1_first_instar,11
MM_3,MM,14,2_second_instar,17
MM_3,MM,14,3_third_instar,0
MM_3,MM,14,4_early_fourth_instar,0
MM_3,MM,14,5_late_fourth_instar,0
MM_3,MM,14,6_exuviea,0
MM_3,MM,16,0_egg,0
MM_3,MM,16,1_first_instar,1
MM_3,MM,16,2_second_instar,9
MM_3,MM,16,3_third_instar,25
MM_3,MM,16,4_early_fourth_instar,3
MM_3,MM,16,5_late_fourth_instar,0
MM_3,MM,16,6_exuviea,0
MM_3,MM,21,0_egg,0
MM_3,MM,21,1_first_instar,0
MM_3,MM,21,2_second_instar,5
MM_3,MM,21,3_third_instar,7
MM_3,MM,21,4_early_fourth_instar,12
MM_3,MM,21,5_late_fourth_instar,15
MM_3,MM,21,6_exuviea,0
MM_3,MM,23,0_egg,0
MM_3,MM,23,1_first_instar,0
MM_3,MM,23,2_second_instar,2
MM_3,MM,23,3_third_instar,4
MM_3,MM,23,4_early_fourth_instar,6
MM_3,MM,23,5_late_fourth_instar,13
MM_3,MM,23,6_exuviea,0
MM_3,MM,26,0_egg,0
MM_3,MM,26,1_first_instar,0
MM_3,MM,26,2_second_instar,0
MM_3,MM,26,3_third_instar,3
MM_3,MM,26,4_early_fourth_instar,1
MM_3,MM,26,5_late_fourth_instar,6
MM_3,MM,26,6_exuviea,2
MM_3,MM,29,0_egg,0
MM_3,MM,29,1_first_instar,0
MM_3,MM,29,2_second_instar,0
MM_3,MM,29,3_third_instar,1
MM_3,MM,29,4_early_fourth_instar,0
MM_3,MM,29,5_late_fourth_instar,3
MM_3,MM,29,6_exuviea,0
MM_3,MM,33,0_egg,0
MM_3,MM,33,1_first_instar,0
MM_3,MM,33,2_second_instar,0
MM_3,MM,33,3_third_instar,0
MM_3,MM,33,4_early_fourth_instar,0
MM_3,MM,33,5_late_fourth_instar,1
MM_3,MM,33,6_exuviea,0
MM_3,MM,36,0_egg,0
MM_3,MM,36,1_first_instar,0
MM_3,MM,36,2_second_instar,0
MM_3,MM,36,3_third_instar,0
MM_3,MM,36,4_early_fourth_instar,0
MM_3,MM,36,5_late_fourth_instar,0
MM_3,MM,36,6_exuviea,0
MM_4,MM,6,0_egg,47
MM_4,MM,6,1_first_instar,0
MM_4,MM,6,2_second_instar,0
MM_4,MM,6,3_third_instar,0
MM_4,MM,6,4_early_fourth_instar,0
MM_4,MM,6,5_late_fourth_instar,0
MM_4,MM,6,6_exuviea,0
MM_4,MM,9,0_egg,0
MM_4,MM,9,1_first_instar,10
MM_4,MM,9,2_second_instar,0
MM_4,MM,9,3_third_instar,0
MM_4,MM,9,4_early_fourth_instar,0
MM_4,MM,9,5_late_fourth_instar,0
MM_4,MM,9,6_exuviea,0
MM_4,MM,14,0_egg,0
MM_4,MM,14,1_first_instar,23
MM_4,MM,14,2_second_instar,6
MM_4,MM,14,3_third_instar,0
MM_4,MM,14,4_early_fourth_instar,0
MM_4,MM,14,5_late_fourth_instar,0
MM_4,MM,14,6_exuviea,0
MM_4,MM,16,0_egg,0
MM_4,MM,16,1_first_instar,1
MM_4,MM,16,2_second_instar,14
MM_4,MM,16,3_third_instar,13
MM_4,MM,16,4_early_fourth_instar,0
MM_4,MM,16,5_late_fourth_instar,0
MM_4,MM,16,6_exuviea,0
MM_4,MM,21,0_egg,0
MM_4,MM,21,1_first_instar,1
MM_4,MM,21,2_second_instar,9
MM_4,MM,21,3_third_instar,12
MM_4,MM,21,4_early_fourth_instar,5
MM_4,MM,21,5_late_fourth_instar,0
MM_4,MM,21,6_exuviea,0
MM_4,MM,23,0_egg,0
MM_4,MM,23,1_first_instar,0
MM_4,MM,23,2_second_instar,10
MM_4,MM,23,3_third_instar,1
MM_4,MM,23,4_early_fourth_instar,11
MM_4,MM,23,5_late_fourth_instar,4
MM_4,MM,23,6_exuviea,0
MM_4,MM,26,0_egg,0
MM_4,MM,26,1_first_instar,0
MM_4,MM,26,2_second_instar,0
MM_4,MM,26,3_third_instar,3
MM_4,MM,26,4_early_fourth_instar,4
MM_4,MM,26,5_late_fourth_instar,7
MM_4,MM,26,6_exuviea,1
MM_4,MM,29,0_egg,0
MM_4,MM,29,1_first_instar,0
MM_4,MM,29,2_second_instar,0
MM_4,MM,29,3_third_instar,1
MM_4,MM,29,4_early_fourth_instar,3
MM_4,MM,29,5_late_fourth_instar,3
MM_4,MM,29,6_exuviea,0
MM_4,MM,33,0_egg,0
MM_4,MM,33,1_first_instar,0
MM_4,MM,33,2_second_instar,0
MM_4,MM,33,3_third_instar,0
MM_4,MM,33,4_early_fourth_instar,0
MM_4,MM,33,5_late_fourth_instar,2
MM_4,MM,33,6_exuviea,2
MM_4,MM,36,0_egg,0
MM_4,MM,36,1_first_instar,0
MM_4,MM,36,2_second_instar,0
MM_4,MM,36,3_third_instar,0
MM_4,MM,36,4_early_fourth_instar,0
MM_4,MM,36,5_late_fourth_instar,0
MM_4,MM,36,6_exuviea,0
MM_5,MM,6,0_egg,45
MM_5,MM,6,1_first_instar,0
MM_5,MM,6,2_second_instar,0
MM_5,MM,6,3_third_instar,0
MM_5,MM,6,4_early_fourth_instar,0
MM_5,MM,6,5_late_fourth_instar,0
MM_5,MM,6,6_exuviea,0
MM_5,MM,9,0_egg,0
MM_5,MM,9,1_first_instar,7
MM_5,MM,9,2_second_instar,0
MM_5,MM,9,3_third_instar,0
MM_5,MM,9,4_early_fourth_instar,0
MM_5,MM,9,5_late_fourth_instar,0
MM_5,MM,9,6_exuviea,0
MM_5,MM,14,0_egg,0
MM_5,MM,14,1_first_instar,8
MM_5,MM,14,2_second_instar,12
MM_5,MM,14,3_third_instar,0
MM_5,MM,14,4_early_fourth_instar,0
MM_5,MM,14,5_late_fourth_instar,0
MM_5,MM,14,6_exuviea,0
MM_5,MM,16,0_egg,0
MM_5,MM,16,1_first_instar,3
MM_5,MM,16,2_second_instar,12
MM_5,MM,16,3_third_instar,8
MM_5,MM,16,4_early_fourth_instar,0
MM_5,MM,16,5_late_fourth_instar,0
MM_5,MM,16,6_exuviea,0
MM_5,MM,21,0_egg,0
MM_5,MM,21,1_first_instar,1
MM_5,MM,21,2_second_instar,9
MM_5,MM,21,3_third_instar,8
MM_5,MM,21,4_early_fourth_instar,6
MM_5,MM,21,5_late_fourth_instar,0
MM_5,MM,21,6_exuviea,0
MM_5,MM,23,0_egg,0
MM_5,MM,23,1_first_instar,0
MM_5,MM,23,2_second_instar,4
MM_5,MM,23,3_third_instar,3
MM_5,MM,23,4_early_fourth_instar,6
MM_5,MM,23,5_late_fourth_instar,9
MM_5,MM,23,6_exuviea,0
MM_5,MM,26,0_egg,0
MM_5,MM,26,1_first_instar,0
MM_5,MM,26,2_second_instar,0
MM_5,MM,26,3_third_instar,3
MM_5,MM,26,4_early_fourth_instar,2
MM_5,MM,26,5_late_fourth_instar,6
MM_5,MM,26,6_exuviea,1
MM_5,MM,29,0_egg,0
MM_5,MM,29,1_first_instar,0
MM_5,MM,29,2_second_instar,1
MM_5,MM,29,3_third_instar,1
MM_5,MM,29,4_early_fourth_instar,0
MM_5,MM,29,5_late_fourth_instar,3
MM_5,MM,29,6_exuviea,1
MM_5,MM,33,0_egg,0
MM_5,MM,33,1_first_instar,0
MM_5,MM,33,2_second_instar,0
MM_5,MM,33,3_third_instar,1
MM_5,MM,33,4_early_fourth_instar,0
MM_5,MM,33,5_late_fourth_instar,0
MM_5,MM,33,6_exuviea,0
MM_5,MM,36,0_egg,0
MM_5,MM,36,1_first_instar,0
MM_5,MM,36,2_second_instar,0
MM_5,MM,36,3_third_instar,1
MM_5,MM,36,4_early_fourth_instar,0
MM_5,MM,36,5_late_fourth_instar,0
MM_5,MM,36,6_exuviea,0
