plant_id,genotype,tissue,normalised_ribo_synth_expr
LA1840_1,LA1840,leaf,0.2216
LA1840_2,LA1840,leaf,0.2228
LA1840_3,LA1840,leaf,0.3293
LA1840_4,LA1840,leaf,0.2329
IL1927_1,IL1927,leaf,0.1312
IL1927_2,IL1927,leaf,0.1639
IL1927_3,IL1927,leaf,0.1410
IL1927_4,IL1927,leaf,0.1511
IL1928_1,IL1928,leaf,0.1414
IL1928_2,IL1928,leaf,0.1091
IL1928_3,IL1928,leaf,0.0907
IL1928_4,IL1928,leaf,0.1057
MB_1,MB,leaf,0.1615
MB_2,MB,leaf,0.1551
MB_3,MB,leaf,0.1389
MB_4,MB,leaf,0.1345
LA1840_1,LA1840,root,0.0959
LA1840_2,LA1840,root,0.1071
LA1840_3,LA1840,root,0.1256
LA1840_4,LA1840,root,0.1009
IL1927_1,IL1927,root,0.0481
IL1927_2,IL1927,root,0.0226
IL1927_3,IL1927,root,0.0476
IL1927_4,IL1927,root,0.0608
IL1928_1,IL1928,root,NA
IL1928_2,IL1928,root,NA
IL1928_3,IL1928,root,NA
IL1928_4,IL1928,root,NA
MB_1,MB,root,0.0457
MB_2,MB,root,0.0974
MB_3,MB,root,0.0701
MB_4,MB,root,0.0411